Episode, Reward, Time, Hits, Avg_pos, Avg_theta, Shots
1,501.4999518354987,23:16:39.662727,1,50.30740740740741,10.209259259259264,9
2,-359.1855237773216,11:55:34.858130,4,71.14117647058823,15.532660633484163,20
3,533.4382109041921,16:44:57.541932,5,14.52316076294278,2.4745231607629425,7
4,501.43059177773523,16:53:04.525332,1,26.718260869565217,4.5614260869565255,9
5,524.3360054749825,16:53:20.911414,4,20.069662921348314,3.4665393258427026,8
6,511.41351380041243,18:08:52.285865,4,18.00518134715026,3.0252590673575113,7
7,502.5725527812123,18:13:34.990425,4,18.611260053619304,3.108203753351207,6
8,536.0005020691285,18:13:47.173224,3,12.83953488372093,2.2183255813953506,8
9,501.45186287323185,18:14:49.794391,2,17.313725490196077,2.9439215686274514,9
10,502.3382561157449,18:15:05.283766,1,27.082720588235293,4.4887316176470575,9
11,501.7427005050195,18:15:15.424152,5,18.793696275071632,3.0902578796561633,6
12,-412.08146337421306,18:16:53.099381,3,67.01591289782245,14.743869346733645,20
13,-181.99720159554226,18:17:21.955776,3,61.678494623655915,13.387752688172034,20
14,512.4793093674255,18:18:11.201825,5,12.455974842767295,2.0674213836478,6
15,501.5669422741724,18:18:22.727803,4,22.866995073891626,3.8136206896551705,7
16,508.5257360676053,18:20:47.507560,5,14.206451612903226,4.569225806451609,7
