Shooter_x_pos,Shooter_y_pos,Projectile_x_pos,Projectile_y_pos,Player_x_pos_current,Player_y_pos_current,Player_x_pos_initial,Player_y_pos_initial,Theta,Hit
180,80,136,406,39,379,102,401,97.61,0
180,80,138,406,41,379,100,401,97.23,0
180,80,139,406,43,378,98,401,97.06,0
180,80,142,399,45,378,96,400,96.69,0
180,80,144,400,47,378,94,400,96.32,0
180,80,146,400,49,377,92,400,95.97,0
180,80,148,400,51,377,90,400,95.61,0
180,80,150,400,53,377,88,399,95.24,0
180,80,150,400,55,376,86,399,95.24,0
180,80,152,400,56,376,84,399,94.89,0
180,80,152,400,58,376,82,399,94.89,0
180,80,150,400,60,375,80,399,95.24,0
180,80,148,400,62,375,78,398,95.59,0
180,80,146,400,64,374,76,398,95.94,0
180,80,144,400,66,374,74,398,96.3,0
180,80,142,399,68,374,72,398,96.65,0
180,80,140,399,70,373,70,397,97.0,0
180,80,138,399,72,373,68,397,97.34,0
180,80,138,399,74,373,66,397,97.34,0
180,80,136,399,76,372,64,397,97.71,0
180,80,134,398,78,372,62,396,98.06,0
180,80,132,398,80,372,60,396,98.4,0
180,80,131,398,82,371,58,396,98.75,0
180,80,128,397,84,371,56,396,99.12,0
180,80,127,397,88,370,54,395,99.46,0
180,80,125,397,90,370,52,395,99.81,0
180,80,123,396,92,370,50,395,100.15,0
180,80,109,387,92,370,36,389,102.94,1
180,80,109,379,92,370,34,388,103.32,1
180,80,108,372,92,370,32,387,103.66,1
180,80,108,365,92,370,30,386,103.99,1
180,80,108,358,92,370,28,386,104.33,1
180,80,123,396,94,369,48,395,100.15,0
180,80,107,357,94,369,27,385,104.71,1
180,80,121,396,96,369,48,395,100.52,0
180,80,105,357,96,369,25,384,105.04,1
180,80,117,395,98,368,47,394,101.21,0
180,80,103,356,98,368,23,383,105.38,1
180,80,117,395,100,368,45,393,101.21,0
180,80,102,356,100,368,21,382,105.71,1
180,80,115,395,102,368,43,392,101.55,0
180,80,100,355,102,368,21,382,106.09,1
180,80,113,395,104,367,41,391,101.92,0
180,80,98,355,104,367,23,382,106.42,1
180,80,111,394,106,367,39,390,102.26,0
180,80,97,354,106,367,25,382,106.75,1
180,80,109,394,108,367,37,390,102.6,0
180,80,95,354,108,367,27,381,107.08,1
180,80,81,386,137,361,29,381,107.78,0
180,80,79,386,141,361,31,380,108.11,0
180,80,78,385,143,360,33,380,108.43,0
180,80,76,384,145,360,35,380,108.76,0
180,80,74,384,147,360,37,379,109.14,0
180,80,71,383,149,359,39,379,109.78,0
180,80,69,382,151,359,41,379,110.1,0
180,80,67,381,153,359,43,378,110.48,0
180,80,65,381,155,358,45,378,110.79,0
180,80,64,380,159,358,47,378,111.11,0
180,80,57,385,161,357,49,377,111.8,0
180,80,56,384,163,357,51,377,112.11,0
180,80,54,384,165,357,53,377,112.43,0
180,80,52,383,167,356,55,376,112.74,0
180,80,52,383,169,356,56,376,112.74,0
180,80,49,382,171,355,58,376,113.33,0
180,80,47,381,175,355,60,375,113.71,0
180,80,45,380,177,354,62,375,114.08,0
180,80,43,379,179,354,64,374,114.46,0
180,80,42,378,181,354,66,374,114.76,0
180,80,41,378,182,353,68,374,114.99,0
180,80,37,376,184,353,70,373,115.74,0
180,80,32,381,184,353,72,373,116.11,0
180,80,30,380,186,353,74,373,116.42,0
180,80,29,380,186,353,76,372,116.64,0
180,80,23,377,186,353,80,372,117.77,0
180,80,27,379,188,352,78,372,117.02,0
180,80,23,377,188,352,82,371,117.77,0
180,80,25,378,192,352,84,371,117.47,0
180,80,26,378,194,351,86,371,117.17,0
180,80,30,373,196,351,88,370,116.94,0
180,80,32,374,198,351,90,370,116.64,0
180,80,35,375,202,350,92,370,116.1,0
180,80,36,376,206,349,94,369,115.8,0
180,80,38,376,208,349,96,369,115.56,0
180,80,42,371,210,349,98,368,115.25,0
180,80,44,371,212,348,100,368,114.93,0
180,80,45,372,214,348,102,368,114.69,0
180,80,48,374,216,348,104,367,114.05,0
180,80,50,374,218,347,106,367,113.8,0
180,80,51,375,220,347,108,367,113.48,0
180,80,53,376,220,347,110,366,113.15,0
180,80,57,370,222,347,112,366,112.89,0
180,80,58,370,224,347,114,366,112.73,0
180,80,61,371,226,346,116,365,112.14,0
180,80,63,372,228,346,118,365,111.8,0
180,80,64,373,230,346,119,365,111.53,0
180,80,66,373,232,345,121,364,111.19,0
180,80,67,374,232,345,123,364,110.85,0
180,80,71,368,234,345,125,364,110.58,0
180,80,73,369,236,345,127,363,110.23,0
180,80,75,369,238,344,129,363,109.89,0
180,80,76,370,240,344,131,363,109.6,0
180,80,80,371,242,344,133,362,108.9,0
180,80,81,371,244,343,135,362,108.61,0
180,80,83,372,246,343,137,361,108.26,0
180,80,87,366,246,343,139,361,107.9,0
180,80,88,366,248,343,141,361,107.6,0
180,80,90,367,250,342,143,360,107.24,0
180,80,92,368,252,342,145,360,106.88,0
180,80,94,368,254,342,147,360,106.57,0
