Episode, Running_Reward, Frame_Count, Time
4,-190.83202801571665,5000,16:53:39.945668
9,-153.35943042163757,10000,16:57:22.679942
14,-160.92625363153843,15000,17:02:44.668897
20,-168.66054002877178,20000,17:10:09.698838
24,-165.4315743817597,25000,17:18:56.279819
29,-147.65878783345335,30000,17:29:24.197799
34,-134.9974499632393,35000,17:42:06.546017
39,-134.76248866687502,40000,17:57:20.376967
44,-130.179560259014,45000,18:15:02.130047
49,-134.774442290186,50000,18:35:11.072092
54,-128.2191978267598,55000,18:58:06.976513
